Country,MSE,RMSE
Singapore,0.0152355840403176,0.123432508037055
Japan,0.400391465857143,0.632764937284884
Philippines,0.0110025678251667,0.104893125728842
Kazakhstan,0.0040235748075334,0.0634316546176545
South Africa,0.0222795890174719,0.149263488561241
United States,0.00944433453566841,0.0971819661031223
Puerto Rico,0.00302548918558638,0.0550044469619174
Brazil,0.0144083739834384,0.120034886526536
Grenada,0.0123856611680389,0.11129088537719
Austria,0.00622235271608006,0.0788818909261185
Russian Federation,0.0659365893312223,0.256781209069555
Bulgaria,0.00497037870127533,0.0705009127690935
Ukraine,0.033410250674352,0.182784711270806
