Country,Year,Forecasted_Suicides
Singapore,2021,338.711264514403
Singapore,2022,338.711264514151
Singapore,2023,338.711264514145
Singapore,2024,338.711264514144
Singapore,2025,338.711264514144
Singapore,2026,338.711264514144
Singapore,2027,338.711264514144
Singapore,2028,338.711264514144
Singapore,2029,338.711264514144
Singapore,2030,338.711264514144
Japan,2021,22088.6719245241
Japan,2022,22088.6719244728
Japan,2023,22088.6719244715
Japan,2024,22088.6719244715
Japan,2025,22088.6719244715
Japan,2026,22088.6719244715
Japan,2027,22088.6719244715
Japan,2028,22088.6719244715
Japan,2029,22088.6719244715
Japan,2030,22088.6719244715
Philippines,2021,2758.63244625293
Philippines,2022,2759.00521863013
Philippines,2023,2759.06676186457
Philippines,2024,2759.07691551488
Philippines,2025,2759.07859051661
Philippines,2026,2759.07886682881
Philippines,2027,2759.07891240975
Philippines,2028,2759.07891992886
Philippines,2029,2759.07892116922
Philippines,2030,2759.07892137383
Kazakhstan,2021,2254.14894806978
Kazakhstan,2022,2170.68932337981
Kazakhstan,2023,2099.02106027091
Kazakhstan,2024,2038.25257316669
Kazakhstan,2025,1987.24877880337
Kazakhstan,2026,1944.78202291084
Kazakhstan,2027,1909.63900794677
Kazakhstan,2028,1880.6877686237
Kazakhstan,2029,1856.91320875598
Kazakhstan,2030,1837.43040775207
South Africa,2021,409.465537953564
South Africa,2022,409.465252336166
South Africa,2023,409.465219246593
South Africa,2024,409.465215413085
South Africa,2025,409.465214968965
South Africa,2026,409.465214917512
South Africa,2027,409.465214911552
South Africa,2028,409.465214910861
South Africa,2029,409.465214910781
South Africa,2030,409.465214910772
United States,2016,42744.8712187938
United States,2017,42864.9430123834
United States,2018,42938.5713571552
United States,2019,42983.3916338566
United States,2020,43010.5535556996
United States,2021,43026.9693878485
United States,2022,43036.8742013798
United States,2023,43042.8444579205
United States,2024,43046.4409071865
United States,2025,43048.6065783003
Puerto Rico,2021,238.506478134781
Puerto Rico,2022,238.570883151938
Puerto Rico,2023,238.60023402574
Puerto Rico,2024,238.613576715158
Puerto Rico,2025,238.619634020754
Puerto Rico,2026,238.622381633208
Puerto Rico,2027,238.623627231441
Puerto Rico,2028,238.624191648243
Puerto Rico,2029,238.624447300674
Puerto Rico,2030,238.624563057171
Brazil,2021,7866.63039340365
Brazil,2022,7607.07515754251
Brazil,2023,7424.9873057919
Brazil,2024,7305.94026531081
Brazil,2025,7235.42550652383
Brazil,2026,7200.75359613705
Brazil,2027,7191.67779088971
Brazil,2028,7200.33850458448
Brazil,2029,7220.91910625723
Brazil,2030,7249.22860592772
Grenada,2021,0.383668158506932
Grenada,2022,0.484992431704403
Grenada,2023,0.591602720575975
Grenada,2024,0.702377947682721
Grenada,2025,0.816404521051049
Grenada,2026,0.932934088654161
Grenada,2027,1.051349832749
Grenada,2028,1.17113967949949
Grenada,2029,1.29187506896333
Grenada,2030,1.41319417305319
Austria,2021,1199.7872591859
Austria,2022,1199.78725908525
Austria,2023,1199.78725908215
Austria,2024,1199.78725908205
Austria,2025,1199.78725908205
Austria,2026,1199.78725908205
Austria,2027,1199.78725908205
Austria,2028,1199.78725908205
Austria,2029,1199.78725908205
Austria,2030,1199.78725908205
Russian Federation,2021,18575.613591315
Russian Federation,2022,18248.3616726491
Russian Federation,2023,18045.0781080195
Russian Federation,2024,17921.1425698611
Russian Federation,2025,17846.4406130925
Russian Federation,2026,17801.7217122611
Russian Federation,2027,17775.0602556247
Russian Federation,2028,17759.2025707248
Russian Federation,2029,17749.783799672
Russian Federation,2030,17744.1938859061
Bulgaria,2021,642.933159016713
Bulgaria,2022,642.933159013236
Bulgaria,2023,642.933159013082
Bulgaria,2024,642.933159013076
Bulgaria,2025,642.933159013075
Bulgaria,2026,642.933159013075
Bulgaria,2027,642.933159013075
Bulgaria,2028,642.933159013075
Bulgaria,2029,642.933159013076
Bulgaria,2030,642.933159013075
Ukraine,2021,7030.68919541033
Ukraine,2022,6855.10748993081
Ukraine,2023,6680.89760297569
Ukraine,2024,6508.08575916022
Ukraine,2025,6336.72511521272
Ukraine,2026,6166.88520619936
Ukraine,2027,5998.64452356209
Ukraine,2028,5832.08533652545
Ukraine,2029,5667.29011776802
Ukraine,2030,5504.3391144781
