Country,Year,Forecasted_Suicides
Japan,2021,25764.200180147
Japan,2022,27461.0755546603
Japan,2023,28170.6108736046
Japan,2024,28078.0322347119
Japan,2025,27847.3228325295
Japan,2026,27941.246819248
Japan,2027,28369.7738522449
Japan,2028,28859.2288995684
Japan,2029,29160.8411851071
Japan,2030,29226.8247132632
United Kingdom,2021,5019.69735235619
United Kingdom,2022,5093.56222783861
United Kingdom,2023,5260.65423861099
United Kingdom,2024,5370.58490126885
United Kingdom,2025,5532.57369074082
United Kingdom,2026,5680.1009117802
United Kingdom,2027,5857.45383158697
United Kingdom,2028,6034.76008185277
United Kingdom,2029,6230.5921336329
United Kingdom,2030,6432.46784434813
Germany,2021,10445.9154757019
Germany,2022,10654.7728113883
Germany,2023,10661.0425979046
Germany,2024,10634.3711377759
Germany,2025,10635.7377133907
Germany,2026,10645.2111325037
Germany,2027,10646.2463297471
Germany,2028,10640.2589440527
Germany,2029,10631.9830281925
Germany,2030,10622.9732072777
United States,2016,40080.3369660308
United States,2017,41290.7228228188
United States,2018,42682.1342087865
United States,2019,44267.8880168282
United States,2020,45997.0812023757
United States,2021,47852.3400683313
United States,2022,49762.6644826555
United States,2023,51688.6215357346
United States,2024,53637.0736839042
United States,2025,55627.0867804495
Brazil,2021,10624.8663939446
Brazil,2022,10699.9077050878
Brazil,2023,10906.5205037491
Brazil,2024,11132.2353747322
Brazil,2025,11316.5629824127
Brazil,2026,11465.7093352756
Brazil,2027,11612.5102366245
Brazil,2028,11770.3058050715
Brazil,2029,11932.8643938681
Brazil,2030,12090.8170205954
Australia,2021,2940.76938830551
Australia,2022,2922.93471669012
Australia,2023,2891.59322212401
Australia,2024,2840.31020957422
Australia,2025,2787.00185204962
Australia,2026,2744.56230298449
Australia,2027,2720.5030878288
Australia,2028,2718.49253159302
Australia,2029,2738.14832478835
Australia,2030,2775.94886000712
France,2015,10098.137806047
France,2016,9898.37507684123
France,2017,9807.60261286645
France,2018,9748.96286742902
France,2019,9687.74902099738
France,2020,9625.93762935422
France,2021,9563.87311888065
France,2022,9496.45490115022
France,2023,9421.86791852491
France,2024,9342.40049694393
Canada,2021,3930.74725148332
Canada,2022,3926.44083177391
Canada,2023,3946.13741670613
Canada,2024,3951.51430189089
Canada,2025,3961.76009018445
Canada,2026,3973.87666460235
Canada,2027,3986.44143612619
Canada,2028,4000.09971496477
Canada,2029,4014.09290086481
Canada,2030,4028.23021428549
